probe_id,timestamp,quantidade_saltos,latencia
17958,1725127450,13,16.2
51924,1725127447,5,39.602
6349,1725127474,15,121.168
1008493,1725127548,14,12.454
33508,1725127558,8,8.293
14584,1725127561,13,168.806
19503,1725127566,10,11.114
61985,1725127583,9,6.817
243,1725134413,9,21.108
31403,1725134415,7,11.762
32670,1725134416,10,33.298
1004969,1725134516,12,12.872
1005478,1725134518,26,184.906
12234,1725134515,10,18.264
18641,1725134488,12,77.963
21536,1725134518,13,18.668
51756,1725134517,15,76.831
1004982,1725134523,7,0.524
1005475,1725134520,6,179.103
1005738,1725134567,27,171.025
1005800,1725134568,9,9.367
32052,1725134524,8,14.612
53099,1725134522,6,38.329
55584,1725134520,24,86.322
64718,1725134526,12,15.247
28310,1725134635,8,5.914
7147,1725134584,11,9.769
1008770,1725134691,10,4.663
17958,1725134647,13,17.878
51924,1725134649,6,35.269
6349,1725134684,15,120.901
1008493,1725134760,14,14.794
14584,1725134770,16,69.215
19503,1725134767,10,8.588
33508,1725134766,8,11.448
61985,1725134785,9,6.605
243,1725141614,9,25.49
31403,1725141613,7,11.658
32670,1725141607,10,21.485
1004969,1725141715,12,12.912
1004982,1725141718,7,0.585
12234,1725141719,10,16.558
18641,1725141694,15,80.995
32052,1725141719,8,15.237
51756,1725141714,15,76.648
64718,1725141718,12,19.927
1005475,1725141720,6,179.177
1005478,1725141722,26,184.943
1005738,1725141774,27,177.859
1005800,1725141774,9,11.043
21536,1725141724,11,15.816
53099,1725141722,6,41.469
55584,1725141721,24,86.117
28310,1725141836,8,6.069
7147,1725141788,13,25.137
1008770,1725141892,10,5.085
17958,1725141847,10,15.255
51924,1725141852,6,36.584
6349,1725141872,15,120.833
1008493,1725141950,6,6.298
14584,1725141967,15,73.223
19503,1725141966,10,9.517
33508,1725141966,8,12.058
61985,1725141981,9,6.688
243,1725148815,9,23.71
31403,1725148808,9,11.76
32670,1725148808,10,19.38
1004982,1725148914,7,0.705
18641,1725148889,15,81.236
32052,1725148918,8,15.237
51756,1725148917,15,76.862
55584,1725148916,24,86.099
1004969,1725148923,12,13.826
1005475,1725148924,6,179.085
1005478,1725148925,26,179.599
1005738,1725148977,23,167.572
1005800,1725148976,9,12.669
12234,1725148925,10,16.625
21536,1725148921,13,17.795
53099,1725148926,6,37.897
64718,1725148921,12,20.089
7147,1725148988,13,16.036
1008770,1725149080,10,4.779
17958,1725149043,10,16.31
28310,1725149046,8,7.043
51924,1725149044,6,31.554
6349,1725149075,15,121.398
1008493,1725149154,6,6.185
14584,1725149167,13,73.614
19503,1725149171,10,7.928
33508,1725149167,8,8.26
61985,1725149178,9,7.0
243,1725156017,4,
31403,1725156012,9,11.779
32670,1725156008,10,24.594
1004969,1725156119,12,13.885
1004982,1725156111,7,0.728
1005478,1725156119,22,168.996
12234,1725156115,10,16.844
18641,1725156088,15,81.147
64718,1725156116,12,17.41
1005475,1725156123,6,178.212
1005738,1725156172,23,174.387
1005800,1725156163,9,11.785
21536,1725156122,13,17.699
32052,1725156125,8,14.931
51756,1725156121,15,76.668
53099,1725156122,6,37.901
55584,1725156123,24,86.157
7147,1725156183,13,12.996
1008770,1725156286,10,4.76
17958,1725156257,16,17.942
28310,1725156240,8,6.478
51924,1725156249,6,34.191
6349,1725156280,17,227.486
1008493,1725156354,6,9.763
14584,1725156363,19,179.878
19503,1725156361,10,8.143
33508,1725156360,8,11.551
61985,1725156374,9,6.869
243,1725163210,9,23.597
31403,1725163217,9,11.842
32670,1725163211,10,20.532
18641,1725163293,15,81.383
21536,1725163318,13,17.666
64718,1725163319,12,16.48
1004969,1725163320,12,13.869
1004982,1725163323,7,0.791
1005475,1725163320,6,176.094
1005478,1725163325,22,174.864
1005738,1725163372,27,173.462
1005800,1725163374,9,14.65
12234,1725163322,10,17.722
32052,1725163321,8,15.437
51756,1725163323,15,76.73
53099,1725163325,6,41.409
55584,1725163326,24,86.179
7147,1725163387,12,13.644
1008770,1725163494,10,4.892
17958,1725163445,10,15.105
28310,1725163446,8,6.386
51924,1725163450,5,32.976
6349,1725163476,13,230.362
1008493,1725163548,14,12.632
14584,1725163566,15,73.186
19503,1725163569,10,8.608
33508,1725163571,8,8.25
61985,1725163576,9,10.593
243,1725170410,9,23.873
31403,1725170402,7,11.713
32670,1725170404,10,20.932
1004969,1725170513,12,12.731
1005475,1725170511,6,179.416
12234,1725170513,10,17.947
18641,1725170490,15,83.205
21536,1725170514,13,18.421
55584,1725170512,24,86.417
1004982,1725170522,7,0.664
1005478,1725170521,26,170.57
1005738,1725170565,17,175.765
1005800,1725170568,9,10.728
32052,1725170523,8,14.971
51756,1725170523,15,76.724
53099,1725170523,6,31.708
64718,1725170524,12,15.034
7147,1725170584,13,11.704
1008770,1725170681,10,5.221
17958,1725170651,16,15.725
28310,1725170643,8,6.571
51924,1725170648,10,66.07
6349,1725170686,17,224.614
19503,1725170759,10,8.659
1008493,1725170760,6,6.541
14584,1725170760,13,69.209
33508,1725170760,8,8.25
61985,1725170782,9,6.787
243,1725177607,9,23.293
31403,1725177610,7,11.704
32670,1725177611,10,19.662
1004969,1725177712,12,13.929
1004982,1725177716,8,9.801
1005475,1725177712,6,179.25
18641,1725177694,12,76.044
21536,1725177717,13,17.857
32052,1725177712,8,14.427
51756,1725177713,15,76.656
53099,1725177717,6,32.156
55584,1725177713,24,98.204
1005478,1725177724,16,193.472
1005738,1725177769,27,171.039
1005800,1725177771,9,40.717
12234,1725177726,10,16.779
64718,1725177723,12,15.903
28310,1725177834,8,6.15
7147,1725177795,12,14.233
1008770,1725177891,10,4.989
17958,1725177855,13,15.563
51924,1725177848,6,33.32
6349,1725177878,17,233.193
1008493,1725177957,14,12.145
14584,1725177963,16,73.399
19503,1725177966,10,8.493
33508,1725177963,8,12.034
61985,1725177972,9,6.865
243,1725184817,9,23.312
31403,1725184806,7,11.731
32670,1725184817,10,20.042
1004969,1725184917,6,3.84
1004982,1725184912,7,0.806
1005475,1725184919,6,179.859
12234,1725184917,10,17.99
18641,1725184898,12,77.293
21536,1725184917,13,17.791
32052,1725184913,8,14.938
55584,1725184918,24,94.526
64718,1725184919,12,12.763
1005478,1725184924,26,175.356
1005738,1725184969,27,184.828
1005800,1725184976,9,10.53
51756,1725184924,15,76.783
53099,1725184925,6,23.871
28310,1725185034,8,6.247
7147,1725184998,11,23.04
1008770,1725185092,10,4.53
17958,1725185050,10,14.364
51924,1725185043,5,31.033
6349,1725185072,15,121.359
1008493,1725185154,14,11.686
14584,1725185157,15,73.219
19503,1725185169,10,8.217
33508,1725185160,6,11.488
61985,1725185176,9,6.704
243,1725192013,9,21.101
31403,1725192004,9,11.778
32670,1725192015,10,21.416
1004969,1725192112,12,12.806
1004982,1725192117,7,0.509
1005478,1725192116,26,181.558
18641,1725192088,12,76.776
21536,1725192114,13,22.527
51756,1725192113,15,76.766
55584,1725192119,24,96.248
64718,1725192119,13,25.656
1005475,1725192124,6,179.086
1005738,1725192171,27,178.194
1005800,1725192174,9,31.982
12234,1725192123,10,17.747
32052,1725192125,8,15.361
53099,1725192121,6,29.053
7147,1725192193,13,11.397
1008770,1725192282,10,5.11
17958,1725192243,10,15.672
28310,1725192243,8,6.154
51924,1725192244,10,67.96
6349,1725192275,17,231.534
1008493,1725192352,14,11.741
19503,1725192357,10,8.017
33508,1725192358,8,8.239
14584,1725192361,13,184.368
61985,1725192378,12,17.648
243,1725199204,9,25.714
31403,1725199209,7,11.721
32670,1725199210,10,21.801
1004969,1725199318,6,3.849
1004982,1725199316,7,0.609
1005475,1725199318,6,179.341
1005478,1725199317,26,179.611
12234,1725199317,10,17.921
18641,1725199285,12,76.608
21536,1725199315,13,17.684
51756,1725199318,15,76.732
53099,1725199319,6,24.059
55584,1725199318,24,98.928
64718,1725199319,13,28.041
1005738,1725199373,27,182.92
1005800,1725199365,9,27.33
32052,1725199320,8,16.288
7147,1725199394,11,13.213
1008770,1725199483,10,4.678
17958,1725199456,13,15.406
28310,1725199445,8,6.727
51924,1725199455,5,29.013
6349,1725199482,15,120.352
1008493,1725199548,6,12.61
14584,1725199558,13,
19503,1725199571,10,8.498
33508,1725199569,6,11.636
61985,1725199575,9,6.572
243,1725206410,11,27.176
31403,1725206406,7,11.67
32670,1725206411,10,18.11
1004969,1725206513,12,11.91
1004982,1725206519,7,0.787
1005475,1725206517,6,179.07
1005478,1725206511,26,184.928
12234,1725206517,10,17.73
18641,1725206486,12,76.383
64718,1725206515,12,15.56
1005738,1725206572,27,178.395
1005800,1725206567,9,8.926
21536,1725206523,13,17.476
32052,1725206522,8,16.33
51756,1725206527,15,77.249
53099,1725206521,6,23.927
55584,1725206522,24,98.498
28310,1725206633,8,6.197
7147,1725206589,13,11.639
1008770,1725206693,10,4.675
17958,1725206644,13,15.865
51924,1725206650,10,78.829
6349,1725206673,15,122.006
33508,1725206757,6,11.472
1008493,1725206761,14,12.414
14584,1725206762,18,124.333
19503,1725206760,10,8.77
61985,1725206784,9,6.749
243,1725213615,9,22.057
31403,1725213616,7,11.757
32670,1725213606,10,21.196
1004969,1725213712,12,14.239
1004982,1725213715,7,0.705
1005478,1725213712,26,184.92
12234,1725213715,10,17.967
18641,1725213696,12,76.112
55584,1725213716,24,86.364
1005475,1725213721,6,179.08
1005738,1725213769,27,177.876
1005800,1725213768,9,8.765
21536,1725213721,13,17.475
32052,1725213721,8,15.172
51756,1725213720,15,76.698
53099,1725213720,6,29.63
64718,1725213723,12,15.174
7147,1725213797,11,11.358
1008770,1725213893,10,5.084
17958,1725213851,10,16.853
28310,1725213843,8,6.124
51924,1725213856,6,30.666
6349,1725213873,17,225.904
1008493,1725213956,11,10.878
14584,1725213962,13,162.68
19503,1725213962,10,8.036
33508,1725213960,6,11.445
61985,1725213981,9,7.351
243,1725220816,9,25.502
31403,1725220813,7,16.454
32670,1725220808,10,20.316
1004982,1725220919,7,0.73
1005478,1725220919,26,167.996
18641,1725220903,15,80.67
1004969,1725220922,12,12.954
1005475,1725220925,6,179.155
1005738,1725220962,17,127.718
1005800,1725220972,9,8.638
12234,1725220926,10,17.066
21536,1725220925,11,17.186
32052,1725220920,8,14.824
51756,1725220921,15,78.134
53099,1725220926,6,29.088
55584,1725220923,24,86.248
64718,1725220923,12,18.233
28310,1725221033,8,6.218
7147,1725220993,11,10.854
1008770,1725221083,10,4.704
17958,1725221055,10,17.207
51924,1725221051,5,36.636
6349,1725221075,15,126.452
1008493,1725221154,14,12.57
33508,1725221158,8,12.017
14584,1725221170,14,56.335
19503,1725221171,10,7.986
61985,1725221176,9,6.722
243,1725228017,9,20.056
31403,1725228018,7,16.411
32670,1725228004,10,23.325
1005475,1725228117,6,179.18
12234,1725228115,10,17.752
18641,1725228092,15,80.701
21536,1725228117,13,17.846
51756,1725228112,15,76.676
53099,1725228118,6,33.583
55584,1725228119,24,86.139
1004969,1725228123,12,12.825
1004982,1725228120,7,0.793
1005478,1725228122,16,180.049
1005738,1725228168,17,136.519
1005800,1725228174,9,8.744
32052,1725228125,8,14.715
64718,1725228124,12,17.822
28310,1725228234,8,6.124
7147,1725228191,13,11.077
1008770,1725228283,10,4.857
17958,1725228251,13,15.835
51924,1725228257,6,37.023
6349,1725228277,15,120.352
1008493,1725228352,6,6.432
33508,1725228357,8,12.031
14584,1725228363,13,159.784
19503,1725228369,10,8.512
61985,1725228372,9,6.519
