probe_id,timestamp,quantidade_saltos,latencia
1004969,1725508913,13,13.883
1004982,1725508910,12,14.88
1005475,1725508908,6,76.914
1005478,1725508906,18,185.256
1005738,1725508900,19,186.241
1005800,1725508902,23,11.184
1008493,1725508902,13,6.361
1008770,1725508902,14,21.239
12234,1725509009,11,17.781
14584,1725509012,16,47.97
19503,1725509010,15,7.983
21536,1725509015,15,25.645
243,1725509009,13,30.53
31403,1725509009,10,12.34
32052,1725509005,9,14.532
32670,1725509007,14,39.449
33508,1725509019,10,14.689
51756,1725509004,14,8.934
53099,1725509001,13,24.318
55584,1725509007,14,80.566
64718,1725509002,17,15.105
7147,1725509123,13,10.613
17958,1725516017,11,13.504
18641,1725516019,13,75.235
28310,1725516018,9,7.2
51924,1725516022,10,29.122
61985,1725516019,10,6.667
1004969,1725516112,13,13.854
1004982,1725516101,12,14.995
1005475,1725516111,6,76.904
1005478,1725516105,18,185.242
1005738,1725516102,19,189.368
1005800,1725516107,23,10.837
1008493,1725516099,13,6.312
1008770,1725516111,14,20.362
12234,1725516207,11,18.209
14584,1725516213,16,47.52
19503,1725516211,15,8.279
21536,1725516200,15,26.212
243,1725516204,13,23.28
31403,1725516215,10,12.345
32052,1725516207,9,14.575
32670,1725516206,14,45.734
33508,1725516211,10,14.664
51756,1725516202,14,8.968
53099,1725516213,13,24.378
55584,1725516203,21,82.283
64718,1725516201,17,15.202
6349,1725516326,11,15.015
7147,1725516330,13,18.424
17958,1725523222,11,14.896
18641,1725523224,15,85.819
28310,1725523217,9,7.351
51924,1725523221,14,75.562
61985,1725523213,10,6.604
1004969,1725523310,13,13.844
1004982,1725523305,12,15.898
1005475,1725523299,6,82.513
1005478,1725523312,18,212.451
1005738,1725523313,19,224.854
1005800,1725523300,23,14.682
1008493,1725523313,13,6.48
1008770,1725523307,14,19.994
12234,1725523407,11,18.671
14584,1725523412,16,47.817
19503,1725523403,15,9.007
21536,1725523415,13,16.756
243,1725523402,13,23.296
31403,1725523414,10,12.286
32052,1725523411,9,14.504
32670,1725523411,14,37.19
33508,1725523407,10,14.649
51756,1725523406,14,9.948
53099,1725523403,13,24.626
55584,1725523406,16,103.389
64718,1725523411,17,15.265
6349,1725523516,11,15.65
7147,1725523520,13,222.363
17958,1725530421,11,16.133
18641,1725530415,13,72.758
28310,1725530417,9,7.076
51924,1725530424,14,68.659
61985,1725530413,10,6.661
1004969,1725530505,13,13.915
1004982,1725530505,12,15.609
1005475,1725530506,6,76.944
1005478,1725530513,18,184.993
1005738,1725530510,19,186.264
1005800,1725530506,23,11.606
1008493,1725530511,13,13.737
1008770,1725530510,15,21.748
12234,1725530612,11,18.043
14584,1725530602,16,47.946
19503,1725530611,15,8.454
21536,1725530604,13,16.983
243,1725530604,13,23.529
31403,1725530610,10,12.343
32052,1725530609,9,14.735
32670,1725530603,14,36.64
33508,1725530614,10,14.658
51756,1725530614,14,9.086
53099,1725530610,13,41.921
55584,1725530612,16,103.393
64718,1725530610,17,15.385
6349,1725530717,11,15.104
7147,1725530720,13,11.231
17958,1725537610,11,12.142
18641,1725537618,13,73.324
28310,1725537619,9,7.605
51924,1725537610,14,101.899
61985,1725537615,10,6.859
1004969,1725537708,13,13.654
1004982,1725537706,12,15.679
1005475,1725537699,6,82.344
1005478,1725537706,18,212.274
1005738,1725537707,19,187.729
1005800,1725537711,23,45.974
1008493,1725537711,13,8.208
1008770,1725537709,14,22.716
12234,1725537808,11,17.999
14584,1725537810,16,48.026
19503,1725537812,15,24.144
21536,1725537803,13,16.597
31403,1725537806,10,12.328
32052,1725537806,9,15.288
32670,1725537810,14,36.949
33508,1725537814,10,14.665
51756,1725537810,14,9.045
53099,1725537803,13,41.711
55584,1725537803,14,76.614
64718,1725537814,17,15.298
6349,1725537925,11,15.837
7147,1725537918,13,10.961
17958,1725544822,11,14.478
18641,1725544822,14,81.407
28310,1725544809,9,7.346
51924,1725544821,14,69.077
61985,1725544816,10,6.892
1004969,1725544899,13,13.863
1004982,1725544909,12,14.992
1005475,1725544901,6,77.065
1005478,1725544913,23,166.624
1005738,1725544909,24,180.774
1005800,1725544900,23,53.778
1008493,1725544900,11,12.113
1008770,1725544903,12,21.767
12234,1725545011,11,18.004
14584,1725545014,16,47.721
19503,1725545006,15,8.142
21536,1725545003,13,16.699
31403,1725545012,10,12.327
32052,1725545013,9,14.837
32670,1725545002,15,38.476
33508,1725545015,10,14.692
51756,1725545015,14,9.292
53099,1725545003,13,41.929
55584,1725545015,16,106.705
64718,1725545012,17,15.844
6349,1725545117,11,14.962
7147,1725545120,13,10.065
17958,1725552020,11,14.538
18641,1725552014,14,81.381
28310,1725552022,7,6.182
51924,1725552016,10,29.122
61985,1725552011,10,6.521
1004969,1725552109,13,13.825
1004982,1725552107,12,14.766
1005475,1725552112,6,77.05
1005478,1725552108,18,185.01
1005738,1725552113,19,186.272
1005800,1725552104,23,11.239
1008493,1725552106,13,6.099
1008770,1725552102,12,22.644
12234,1725552204,11,17.779
14584,1725552206,16,47.69
19503,1725552201,15,8.339
21536,1725552214,13,16.662
31403,1725552207,10,12.389
32052,1725552215,7,14.811
32670,1725552210,15,36.206
33508,1725552207,10,14.671
51756,1725552215,14,8.907
53099,1725552205,13,41.797
55584,1725552214,15,80.336
64718,1725552205,17,11.197
6349,1725552321,11,15.302
7147,1725552318,13,9.853
17958,1725559212,11,16.164
18641,1725559223,15,89.609
28310,1725559219,9,6.372
51924,1725559215,10,28.899
61985,1725559216,10,6.72
1004969,1725559307,13,13.747
1004982,1725559309,12,15.252
1005475,1725559302,6,77.016
1005478,1725559313,18,184.954
1005738,1725559301,24,180.75
1005800,1725559307,23,11.113
1008493,1725559311,13,6.321
1008770,1725559303,14,22.284
12234,1725559401,11,55.251
14584,1725559409,16,48.229
19503,1725559412,15,8.015
21536,1725559401,13,16.636
243,1725559415,13,23.259
31403,1725559411,10,12.398
32052,1725559409,9,14.671
32670,1725559409,14,38.169
33508,1725559407,10,14.763
51756,1725559410,14,9.068
53099,1725559405,13,41.732
55584,1725559412,15,83.371
64718,1725559409,17,15.714
6349,1725559526,11,14.832
7147,1725559526,13,10.552
17958,1725566422,11,15.723
18641,1725566415,18,93.094
28310,1725566411,7,7.281
51924,1725566411,10,29.111
61985,1725566413,10,6.642
1004969,1725566512,13,13.842
1004982,1725566507,12,15.65
1005475,1725566501,6,77.012
1005478,1725566509,23,169.61
1005738,1725566503,24,180.715
1005800,1725566499,23,11.652
1008493,1725566512,13,6.149
1008770,1725566513,14,22.801
12234,1725566605,11,17.982
14584,1725566611,16,47.835
19503,1725566611,15,8.451
21536,1725566603,22,37.757
243,1725566610,10,22.674
32052,1725566614,9,14.632
32670,1725566612,14,39.623
33508,1725566605,10,14.669
51756,1725566607,14,9.009
53099,1725566614,13,41.924
55584,1725566606,15,80.34
64718,1725566610,17,13.099
6349,1725566720,11,14.884
7147,1725566727,13,10.628
17958,1725573613,11,14.344
18641,1725573611,14,77.175
28310,1725573621,9,6.115
51924,1725573613,14,68.87
61985,1725573610,10,6.7
1004969,1725573701,13,13.733
1004982,1725573710,12,15.511
1005475,1725573711,6,76.921
1005478,1725573700,24,182.949
1005738,1725573701,19,254.146
1005800,1725573706,23,10.767
1008493,1725573707,13,15.079
1008770,1725573705,14,22.816
12234,1725573802,11,17.776
14584,1725573804,16,47.598
19503,1725573803,15,8.496
21536,1725573806,13,16.588
243,1725573800,13,25.81
32052,1725573815,9,14.485
32670,1725573813,14,37.144
33508,1725573808,10,14.686
51756,1725573810,14,8.94
53099,1725573813,11,41.736
55584,1725573808,15,80.287
64718,1725573805,17,17.774
6349,1725573924,11,14.888
7147,1725573924,13,10.609
