probe_id,timestamp,quantidade_saltos,latencia
19503,1725091290,10,7.893
21536,1725091317,10,14.819
33508,1725091298,6,11.555
53099,1725091317,9,
64718,1725091317,13,44.883
12234,1725091326,10,17.217
32052,1725091321,8,16.328
51756,1725091327,12,2.388
55584,1725091321,19,86.086
7147,1725091352,12,12.336
1004969,1725091447,12,13.834
1004982,1725091456,7,0.477
1005475,1725091443,6,67.571
1005478,1725091444,26,189.242
1005738,1725091520,27,176.601
1005800,1725091525,15,55.46
1008770,1725091507,10,4.745
17958,1725091554,17,17.093
243,1725091541,11,23.568
28310,1725091544,8,7.09
32670,1725091532,11,27.321
51924,1725091556,7,35.155
6349,1725091552,15,119.257
61985,1725098436,12,21.917
1008493,1725098484,11,12.256
12234,1725098516,10,17.098
14584,1725098493,13,148.142
18641,1725098466,13,97.014
19503,1725098493,10,8.051
32052,1725098514,8,15.836
33508,1725098498,6,11.347
21536,1725098523,10,15.682
51756,1725098524,12,2.385
53099,1725098525,6,24.241
55584,1725098520,19,86.237
64718,1725098527,13,44.001
7147,1725098551,13,10.696
1004969,1725098654,12,13.893
1004982,1725098654,7,0.75
1005475,1725098645,6,68.151
1005478,1725098647,26,189.252
1005738,1725098723,27,176.602
1005800,1725098716,15,17.577
1008770,1725098710,10,5.067
17958,1725098748,17,17.987
243,1725098733,11,22.958
28310,1725098738,8,7.143
32670,1725098736,11,29.597
51924,1725098748,7,35.542
6349,1725098759,15,120.091
61985,1725105639,12,17.353
1008493,1725105694,11,12.517
14584,1725105694,13,148.529
18641,1725105667,13,97.171
19503,1725105690,10,8.157
21536,1725105714,13,17.874
32052,1725105719,8,16.264
33508,1725105707,6,11.482
55584,1725105714,19,94.433
64718,1725105718,13,54.464
12234,1725105720,10,17.102
51756,1725105724,12,2.794
53099,1725105723,6,23.96
7147,1725105744,12,12.222
1004969,1725105852,12,13.876
1004982,1725105858,7,0.589
1005475,1725105858,6,68.162
1005478,1725105845,26,189.187
1005738,1725105911,27,176.631
1005800,1725105914,15,30.945
1008770,1725105914,10,4.578
17958,1725105958,17,17.212
243,1725105935,11,24.058
28310,1725105937,8,6.171
32670,1725105939,11,25.414
51924,1725105955,6,28.56
6349,1725105957,15,119.227
61985,1725112826,12,16.608
1008493,1725112893,11,12.43
14584,1725112899,13,177.614
18641,1725112866,13,97.25
19503,1725112896,10,8.158
33508,1725112889,6,11.533
12234,1725112921,10,17.033
21536,1725112925,10,14.783
32052,1725112924,8,15.959
51756,1725112920,12,2.514
53099,1725112923,6,23.863
55584,1725112920,19,94.921
64718,1725112925,13,17.018
7147,1725112956,12,11.899
1004969,1725113049,14,13.805
1004982,1725113054,7,0.697
1005475,1725113052,6,57.57
1005478,1725113044,26,189.167
1005738,1725113111,17,169.02
1005800,1725113123,15,56.991
1008770,1725113104,10,5.009
17958,1725113149,16,15.085
243,1725113140,11,23.276
28310,1725113147,8,7.128
32670,1725113133,10,19.967
51924,1725113145,6,28.657
6349,1725113148,15,119.266
18641,1725120055,13,96.712
61985,1725120034,12,15.977
1008493,1725120089,11,12.563
14584,1725120102,13,148.263
19503,1725120098,9,8.268
21536,1725120117,13,17.708
32052,1725120117,8,16.11
33508,1725120103,8,11.471
12234,1725120126,10,17.298
51756,1725120120,12,2.497
53099,1725120121,6,41.145
55584,1725120125,19,
64718,1725120124,12,22.631
7147,1725120149,12,16.8
1004969,1725120243,14,13.906
1004982,1725120253,7,0.615
1005475,1725120255,6,68.31
1005478,1725120248,16,189.574
1005738,1725120317,27,178.697
1005800,1725120315,15,10.961
1008770,1725120309,10,4.906
17958,1725120356,16,13.201
243,1725120331,9,24.615
28310,1725120347,8,7.079
32670,1725120337,10,18.285
51924,1725120356,6,37.623
6349,1725120350,15,119.323
61985,1725127238,12,21.277
1008493,1725127288,11,12.223
12234,1725127313,10,17.606
14584,1725127299,13,148.278
18641,1725127268,13,97.338
19503,1725127295,10,8.082
33508,1725127307,6,11.291
51756,1725127319,12,2.442
53099,1725127318,6,41.074
21536,1725127320,13,17.621
32052,1725127325,8,15.954
55584,1725127322,19,86.538
64718,1725127325,12,22.178
7147,1725127344,12,11.246
1004969,1725127448,12,13.865
1004982,1725127445,7,0.516
1005475,1725127453,6,68.302
1005478,1725127445,26,189.207
1005738,1725127517,27,178.669
